 ['forest  feature  index'] , ['forest  rank'] , ['forest  word'] , ['SGD  feature  index'] , ['SGD  rank'] , ['SGD  word'] , ['logistic  feature  index'] , ['logistic  rank'] , ['logistic  word'] 
1822,0.025274425266742829,professional,469,14.441377214215306,commodities,291,1.1670059750326649,bond
2264,0.01907167985260708,subscription,335,10.956858134411132,buyer,1003,1.0517759247429055,fund
1003,0.017963556819804924,fund,1229,10.44114309108021,inventory,1008,1.0472867373329702,funds
1555,0.01280893551296688,need,1981,10.214876153962019,reporting,469,0.95679517417636484,commodities
1008,0.010116906742731292,funds,2150,9.6566262392079381,silver,1,0.87303567108519176,000
2062,0.0099903518228224384,savings,2373,9.1369917122670383,turnover,99,0.77123188405342247,account
330,0.0086792594812088314,buy,1169,8.6875423229691062,income,1229,0.75602530216776154,inventory
69,0.0086378563405440489,45,464,8.6639584182623288,commercial,2085,0.74864469189742733,securities
20,0.0081113499257159279,15,2085,8.4148032685869527,securities,335,0.7396879320494103,buyer
485,0.0080822181107188806,company,1008,8.4142694466837753,funds,330,0.73702900762491441,buy
820,0.0080392186592449424,equity,1226,8.356403965293083,internal,1449,0.73451827097869693,margin
35,0.0080144970866416702,2012,1,8.1975615250475578,000,350,0.72523012014106703,cap
993,0.0077853491234265298,free,1248,8.0988617625870081,investments,2373,0.68781603566763627,turnover
2160,0.0075376929352278911,situations,1626,7.5561464668733782,operations,143,0.68337570047403262,advisor
1238,0.0075209195459773935,investment,126,7.4436767639009878,added,1981,0.66699156956734429,reporting
49,0.0074646125283731376,25,1897,7.1733740626501579,ratios,1799,0.66574654505592945,private
2405,0.0074315988727920402,used,1614,7.1526712568255233,online,2226,0.65176632530039014,stock
251,0.0073589576123369322,balance,710,7.0963450956357415,discount,1248,0.64528699075219709,investments
2331,0.0065877196576533889,times,1300,7.0102795288133306,land,840,0.64052836727838025,event
469,0.0065710404668490692,commodities,1696,6.6284506378230414,perception,35,0.60833583667557012,2012
727,0.0063341490234656277,does,260,6.6124705109200672,banks,1542,0.59658957812155178,mutual
250,0.0061898288062479448,bad,1578,6.6056885601058406,notes,1735,0.57137336665887684,pm
