 ['forest  feature  index'] , ['forest  rank'] , ['forest  word'] , ['SGD  feature  index'] , ['SGD  rank'] , ['SGD  word'] , ['logistic  feature  index'] , ['logistic  rank'] , ['logistic  word'] 
58,0.035010368059104936,25,976,9.907150791595523,export,740,1.2569941299756615,debt
891,0.028389261692538102, email  address ,1791,7.3114076268564272,parent,2317,1.0355417499614852,software
164,0.020249435222953062,address,1773,5.6278283126548212,overdraft,976,0.84982433715759553,export
13,0.012728832327137899,12,2495,5.4948280880108777,time,490,0.80947358890045806,check
1986,0.011947247378087059,published,1762,5.3546734609983169,organization,1239,0.80860893701740644,home
1596,0.01177354033737019,meet,1436,5.3474682546678114,lending,374,0.78261267535414714,budget
1143,0.011650054358196063,going,1597,5.2093771656377914,meeting,1762,0.78095908666503033,organization
1517,0.010902844451975315,lower,2011,5.1523413478583446,rates,1958,0.74418397399665881,profit
117,0.010225730564689728,accept,1958,5.1218985097602721,profit,655,0.7364777564032321,cost
1391,0.0094090312014010469,know,1528,5.1199050363935381,mail,1266,0.70102055155774057,ideas
1538,0.0092096254431714465,make,2317,4.9952636532167407,software,2495,0.69767821845273559,time
1844,0.0086820369903861348, personal  finance ,966,4.7572855792381885,expenditures,450,0.61302491072443743,cashier
1151,0.0082945631689175063,goods,1567,4.7112628344025662,manufacturing,2011,0.60284713396395273,rates
1124,0.0072017473942291186,general,1619,4.5175066844940455,minimum,1677,0.60014449341287923,need
815,0.0066370100719818966,directly,2554,4.469205816933747,twice,1843,0.59614662619126535,personal
1634,0.006632268069889982,money,1990,4.4628559747169634,purchased,564,0.59014034703927853,commerce
2595,0.0065366389090552885,used,847,4.459734245973733,draft,1482,0.58041436134183488,ll
1524,0.0062104446234824435,lunch,294,4.3470688158734099,balance,689,0.57905571879875528, credit  limit 
2560,0.0059204520335329244,types,1428,4.2931142305894525,ledger,2210,0.57657844245658574,score
831,0.0058871162128027645,does,1686,4.2913522718434818,net,1054,0.57558426811749619,financially
2396,0.0056954719884560424,strong,75,4.2294360463548371,31,1634,0.5680380173742382,money
2485,0.005615966201490988,thing,1022,4.2254228193425751,fees,532,0.56337359901756545,coffee
2412,0.005453476468841042,submit,1156,4.2216535092373588,government,1156,0.56326796014006641,government
387,0.0053839664724197826,business,2385,4.2036687011462854,store,1688,0.55282705534485643,new
2340,0.0052226039897982609,spend,1989,4.2002612790723264,purchase,685,0.54698167613725479, credit  card 
1962,0.0051788445896257512,program,723,4.2001445720589086,data,1517,0.54283836415163811,lower
2528,0.0051017835086646186,transactions,2144,4.1945490553218558,retail,1096,0.53444354517225356,free
335,0.005099584239916609,better,622,4.1830709323937061,constant,2385,0.53359431776099264,store
1459,0.0050874561372465108,limit,2219,4.1631952311202891,secured,1567,0.51622599218941578,manufacturing
2584,0.0050190583546205359,unpaid,1239,4.151866114685907,home,418,0.50594775515877488,car
568,0.0049888880858621294,common,500,4.1417165015556519,children,1146,0.50536416021017205,good
2696,0.0048746206366548283,work,1974,4.1064229071860812,protection,847,0.50347571558852111,draft
2550,0.0048578853289184742,turn,1000,4.0719715776248266,fall,1459,0.49871914495634451,limit
2336,0.0048340830096108038,specific,1307,4.0125625633126942,indicate,1428,0.49814618008337558,ledger
1857,0.0048015743601902677,place,1472,3.994698133617153,list,1653,0.49797895229784206,month
2568,0.0047183710768029172,understanding,689,3.9793137775764218, credit  limit ,1528,0.49791414569251696,mail
655,0.0046608611291605057,cost,227,3.9480780441241414,applies,1866,0.49663147628721671,planning
2142,0.0046572772002251902,result,2708,3.9370683062316147,worth,2708,0.4937116383834278,worth
1675,0.0046375735105068702,necessary,387,3.9091802181154653,business,1514,0.4887245797841458,love
1825,0.0045867888484086936,people,1925,3.8709902332400521,primary,657,0.48725188957793014,costs
1101,0.0045373144086980179,frequently,2045,3.8539446716952681,recipient,1773,0.47816630433646135,overdraft
1666,0.0044609817602575732,names,655,3.8392375256726852,cost,1605,0.47530530476642058,merchant
904,0.0044353706362077481,end,1054,3.839031520948418,financially,2343,0.46899594549777462,spending
128,0.0043018033698692349,account,1536,3.7202843901430476,major,622,0.46338525472815029,constant
188,0.0042112717519421682,agency,1405,3.6726198666791858,late,1991,0.46055955978409102,purchases
991,0.0041895701906700415,factor,639,3.6682189045663818,control,312,0.45984014634346515,bankruptcy
1832,0.0041864410526925473,percentage,1605,3.6199008421320347,merchant,473,0.45796434281636911,certified
2210,0.0041444569314598037,score,484,3.5915814488848792,charged,695,0.45540855463605306, credit  score 
1843,0.0040898589419243129,personal,1866,3.5821381442195031,planning,890,0.45521704912680355,email
2301,0.0040898321672526447,situation,2220,3.5718732828905577,securities,1436,0.45401188721029784,lending
112,0.0040590038519510135,able,2150,3.557664844141164,return,1990,0.45067047934496263,purchased
218,0.0040238752120530102,anymore,1534,3.5566260994821652,maintaining,1896,0.44020022424555544, post  office 
1698,0.003850535200224825,normally,1517,3.5452887010036225,lower,335,0.43938458619308451,better
2251,0.0038039300024019168,services,1590,3.5413996122683238,means,1022,0.43938131359964427,fees
1590,0.0037643790347950657,means,1944,3.5000156334343946,processes,1490,0.43934802574830661,local
390,0.0037289257873654993,businesses,1842,3.4964240604235148,person,1873,0.43791173066756806,pm
116,0.0036909276485295739,absolutely,740,3.4811800646100015,debt,1524,0.43348959913260282,lunch
1109,0.0036508735356820384,function,1506,3.4746993735479066,losing,1619,0.43230295569344374,minimum
792,0.003631672853405995,determine,537,3.4723513876930485,collection,1000,0.42930341445876874,fall
724,0.0036204109067594541,date,1942,3.4648975682020708,process,1038,0.42892933397997091,finance
352,0.003590783937479556,book,1677,3.4461572648220398,need,365,0.42583927889815726,box
450,0.00356000676835891,cashier,1937,3.4432566763762935,problem,2219,0.41878814562068867,secured
1953,0.0035595542333618701,products,1351,3.4419693912809022,invoice,2196,0.41649707635933164,savings
1239,0.0035469576611989835,home,2177,3.4333017596148503,rule,1378,0.41580271016086784,just
2619,0.00353949575341852,vary,1266,3.4307041527190218,ideas,1476,0.4112386074830735,little
2032,0.0035105227774738512,reason,2123,3.4154736406493349,requirement,1472,0.40908193890427158,list
1429,0.0035077865865201481,left,112,3.4124664449706184,able,2220,0.40837246346924333,securities
364,0.0034572945014145276,bought,1738,3.3758433199544311,open,484,0.40776262112213824,charged
446,0.0034270987059863657,cash,1815,3.3448634295872082,paying,10,0.40493747697600752,11
312,0.0033929065101187322,bankruptcy,1262,3.3406572968839474,husband,393,0.40421290119026637,busy
1894,0.0033867752173918032,possibly,430,3.3167856016733475, card  debt ,2620,0.40083134767649581,ve
711,0.0033359986829831572,current,350,3.3012349438319033,bonds,1686,0.40057528467973036,net
1262,0.0033316290727505643,husband,1393,3.2758400041084608,knowing,2211,0.3993795378421694,scores
1661,0.0033095637698262381,mother,1524,3.244072568715108,lunch,1942,0.39910004232232293,process
1994,0.0032802955122179971,purposes,1514,3.2284957837660389,love,2244,0.39571248317688978,september
10,0.0032705799037669875,11,490,3.2264868283751871,check,5,0.39525461082603763,10
2415,0.003246767462993628,subscribe,2683,3.2081864361757564,withdraw,2528,0.39442700390422403,transactions
2010,0.0032459665253745428,rate,1055,3.1980033199152493,financing,1222,0.39294954914479036,higher
1358,0.0032413266909172428,issue,1096,3.1902987825656877,free,112,0.39070632573964731,able
2081,0.0032279799513021444,regulations,418,3.181767680264056,car,966,0.38775818266026585,expenditures
657,0.0032253506841516816,costs,2032,3.181224429100403,reason,352,0.38618355257301534,book
1751,0.0032173150831009455,opportunity,1221,3.172717156490227,high,2481,0.38343308517265079,thanks
1989,0.0032139016543471684,purchase,209,3.1599723403132818,american,1895,0.38342751112717594,post
1882,0.0031853329144248487,poor,1374,3.1540558180874858,joint,1815,0.38333832195805478,paying
2343,0.0031442777677693177,spending,1882,3.1169536609593904,poor,2719,0.38242913615340102,year
1552,0.0030966110079666659,making,2098,3.1031430676072631,remove,1112,0.3816806112490807,fund
351,0.0030948599260285739,bonus,10,3.0907960233261305,11,2554,0.38110956874915147,twice
990,0.0030923078217606095,fact,212,3.0802709821343792,analysis,2090,0.37624606957641354,relevant
932,0.0030914266754841482,especially,945,3.0756453011419649,event,294,0.37521494832348817,balance
1362,0.0030860433683456297,issues,2462,3.0644490918120417,techniques,2150,0.37425103103521012,return
320,0.0030433325348331185,basis,220,3.0636377292979011,apartment,464,0.37185840180464286,cents
1222,0.0030254201357238575,higher,1462,3.0614187362617593,limits,1861,0.37183877449926966,plan
2507,0.0029968430154700904,today,1688,3.0585183844541999,new,1481,0.36627201835084988,living
2555,0.0029746845276271828,type,1222,3.0566543038753857,higher,2548,0.36510973198643509,try
427,0.0029633809464251317, card  companies ,1674,3.0566145418904456,necessarily,2222,0.36496444441415171, security  number 
1688,0.0029193792578724375,new,2180,3.0549301655732211,running,2208,0.36281564570148811,school
1476,0.0028849552882485212,little,1194,3.0529975791724215,handling,2136,0.36203243017760439,responsibility
1516,0.0028814895256956538,low,374,3.0219245562445995,budget,1055,0.35477043105054301,financing
1445,0.0028735355649799231,level,117,3.0191540283507519,accept,2347,0.35211597083757629,spouse
1564,0.0028702721709990943,manner,2132,3.0184135709348157,resources,1622,0.35202472139175534,minutes
665,0.0028619671673186632,couple,2685,3.0074102505374207,withdrawals,1726,0.35190631829453678,office
2369,0.0028539967609827123,status,604,2.985037115742617,conditions,1141,0.35057939743742744,goals
1042,0.0028451941365056962,financial,2302,2.9796196569659621,situations,754,0.345958355038888,decision
775,0.0028392484694358382,depending,780,2.9667687288998978,deposits,1597,0.34030235783148821,meeting
1223,0.0028176349220444567, higher  rate ,445,2.9619763647271653,cases,1262,0.33620058858528107,husband
616,0.0028161673300874444,consider,2669,2.9276174756715831,weeks,1925,0.33571450329872426,primary
256,0.0027422546609603866,asset,2090,2.9204820639826652,relevant,2177,0.3348899287238985,rule
2616,0.0027192933423944364,variety,2005,2.8920259552515653,raise,1387,0.33434921718410238,kids
1496,0.0027090826007871846,long,1991,2.8791245382518325,purchases,698,0.33067143158345358, credit  unions 
1937,0.0026978317722074893,problem,240,2.8624802705886694,aren,1736,0.3299093723350397,online
2489,0.0026860061366097681,thought,2096,2.8516065796214547,remains,1755,0.32923481834293755,options
2054,0.0026859662687200971,records,871,2.843425605091483,economic,2315,0.32671728080947549, social  security 
261,0.0026768265100685874,associated,1928,2.8328423485153889,print,941,0.32550714168453809,european
1548,0.0026750077962309484,makes,1353,2.8302055534154769,involve,2124,0.32454857395760361,requirements
1328,0.0026732706218727934,instead,2255,2.8230702989593506,setting,2340,0.32450014791650361,spend
2440,0.0026637513461256652,supposed,2474,2.8203886187951657, term  debt ,1516,0.32385612893743337,low
2040,0.0026620173760598803,received,941,2.7927400136867813,european,1596,0.32302548253834285,meet
1951,0.0026464929325555261,production,2563,2.7695774999998046,typically,117,0.32263430164321766,accept
1681,0.0026014596402800585,needed,384,2.7670568378609097,built,1944,0.32208123287845347,processes
2494,0.0025950774100299097,tied,848,2.7656064629554096,draw,2132,0.3213315776866919,resources
120,0.0025888721067529813,accepting,504,2.7578879082840486,choose,1130,0.32102805512064503,getting
2124,0.0025599737780050867,requirements,1670,2.7046793211589941,natural,30,0.32029264827216514,20
2034,0.0025385845560159177,reasons,2347,2.7042185112691275,spouse,500,0.31758518060510815,children
1309,0.0025187051489034586,individual,1809,2.6976028652589257, pay  credit ,2314,0.31446303969768974,social
2447,0.0025055707626265638,takes,1565,2.6888425725925953,manually,1207,0.31444421735058586,having
1366,0.002502559861382907,items,878,2.6887759458219174,effects,1366,0.31236215590702832,items
1154,0.0024760661929032371,got,576,2.6816695975226845,companies,1143,0.31156979303570731,going
1073,0.0024702139690401365,follow,2222,2.6810907204523922, security  number ,341,0.31143239399267081,bills
317,0.0024673290735051177,basic,2315,2.67828991393666, social  security ,2485,0.31094661312448896,thing
158,0.0024639849807344587,add,2244,2.6720879648241822,september,400,0.31024628305436408,buying
2078,0.0024495324881898422,regular,341,2.6694528542295646,bills,2032,0.30984149017481832,reason
247,0.0024440873956840291,article,1832,2.6690923436259553,percentage,1655,0.30881004041301591,monthly
2035,0.0024429770819437576,receipt,2566,2.6631506627942372,unable,494,0.30820392772369598,checking
1040,0.0024416243588728901,finances,352,2.6525177407500098,book,1405,0.30634061492606335,late
2089,0.0024391157105146085,released,2211,2.6492066061489514,scores,891,0.30627123147504803, email  address 
1768,0.00243371806112417,outstanding,2396,2.6381414386625348,strong,1656,0.30588134617485263,months
316,0.0024054992181004034,based,1654,2.6363536614432901, month  month ,2574,0.30577322870576751,unions
285,0.0023854022029690045,away,1513,2.6308671649894877,lots,2396,0.30421073479680244,strong
1464,0.0023778055513555521, line  credit ,2486,2.6292875802141271,think,2302,0.30306365923759104,situations
530,0.0023554325060040258,club,269,2.6269544745180289,attention,71,0.30283422706161228,30
2096,0.002348898767287594,remains,516,2.6219203499110946,cleared,1003,0.3008430399569042,family
504,0.0023449665814320396,choose,1332,2.6214542850116467,instruments,1998,0.30008148465108531,quality
968,0.0023429968135823972,expenses,1596,2.619170938438272,meet,2486,0.29975456893499064,think
1436,0.0023367963035777141,lending,2020,2.6190369763812433,reader,1842,0.29959226754374491,person
1369,0.0023340662945134684,jobs,1232,2.615454350441865,hold,878,0.29937338133765812,effects
848,0.0023261120060624227,draw,322,2.6045489473269381,began,1961,0.29757984254175995,profits
1819,0.0023082776677988302,payment,1635,2.5952569400286585, money  account ,1503,0.29579224957948569,looking
491,0.0022961074787622364, check  bank ,1003,2.5916040632665394,family,1536,0.29577870787858701,major
2011,0.0022788519473049161,rates,1112,2.5853228970034694,fund,2462,0.29533232719164687,techniques
653,0.0022786482196385078,correct,2316,2.5729896366774088,society,1791,0.2951595094715721,parent
303,0.0022698603851272607, bank  account ,1387,2.5718395577054016,kids,293,0.2944790488947141, bad  credit 
2476,0.002242679130032709,terms,450,2.5605658070344837,cashier,280,0.29313624692648138,available
1993,0.0022346784796221366,purpose,2519,2.5149338375025105,track,1738,0.29248259127394105,open
1314,0.0022336811298866366,industry,1661,2.5069342711250546,mother,75,0.2915277723333341,31
592,0.0022310268691929798,completed,2719,2.4969809362115254,year,377,0.29149785106751341,budgeter
2254,0.0022295589706521233,sets,1755,2.494626111808028,options,394,0.29149785106751341, busy  budgeter 
2121,0.0022021255300858052,required,494,2.4941051235087626,checking,1863,0.29120795049265635,planner
740,0.00214752456581975,debt,2027,2.4927208079987273,reality,723,0.29006004260699209,data
1728,0.0021471998055010706,official,1746,2.4862976866157585,operation,1469,0.28969631091568943,links
1893,0.0021357309649996962,possible,708,2.4846513789581994,cross,1646,0.28929801797844185, money  order 
294,0.0021352277338410738,balance,1557,2.4801393837220336,managed,332,0.2885375838058748,best
2432,0.0021342773912343947,super,1744,2.4778076985716049,operates,1393,0.28745782039510498,knowing
449,0.0021332090266633131,cashed,126,2.4766001262860731, according  terms ,430,0.28500943977420207, card  debt 
2615,0.0021326899795101164,varies,2537,2.4749648779051525,traveler,13,0.28479648448497308,12
1481,0.0020895135841252155,living,2370,2.4744926040759143,stay,1259,0.2846264744559554,human
686,0.0020852228018096676, credit  cards ,1053,2.4742032203065496, financial  transactions ,1534,0.28445669151795161,maintaining
2441,0.0020818047621931584,sure,488,2.452740477865996,cheap,1105,0.28407784140965631,friends
1393,0.0020784005820843783,knowing,1843,2.4505706973923105,personal,292,0.28303652211278996,bad
341,0.002074819507586978,bills,2527,2.4394394151161749,transaction,616,0.28292477633623514,consider
1500,0.0020670997011603405,longer,2641,2.4195068861621212,wages,749,0.2826721802112398,december
2614,0.0020453196351866597,variable,2577,2.4163954699192955,united,2526,0.27956178348044469,training
1842,0.0020426958318772951,person,2369,2.4101544603563192,status,2123,0.27859331026771322,requirement
2252,0.0020318504296161378,set,1919,2.4033570711656256,previous,220,0.27730176486563468,apartment
1356,0.0020184010505543354,involving,1858,2.3895413563286647,placed,1704,0.27612344748522832,november
1387,0.0019933595100714669,kids,1020,2.3894942354684452,feeling,2200,0.27604111997788872,say
576,0.0019798024319917741,companies,2524,2.3892993933900271,traditional,2255,0.27556414585613848,setting
1000,0.0019704085711463827,fall,1294,2.385307115406496,included,2295,0.27475819609633761,single
344,0.001968461156193846,black,2158,2.381725765366574,rewards,665,0.27467681260611038,couple
2713,0.0019628023462063852,writing,1548,2.3803821565538503,makes,1353,0.27409998273814384,involve
1919,0.0019499918407286266,previous,1550,2.3753038126618526, makes  possible ,2022,0.27395014458217171,ready
1938,0.0019497137214780579,problems,592,2.3728332773305758,completed,2679,0.27315940938892291,window
331,0.0019433061988103518,benefits,2258,2.3707644561953858,settled,1391,0.27179822596040254,know
125,0.0019405320647026421,according,686,2.3676695637101659, credit  cards ,696,0.27100315746202586, credit  scores 
1077,0.0019273280117269407,food,2578,2.3623343538774453, united  states ,728,0.26922246702219454,day
2168,0.0019217842750259124,risks,1354,2.3524843805513029,involved,783,0.26884849278689343,design
2132,0.0019110036058174781,resources,260,2.3491392385324574,assistance,1506,0.26820096405572713,losing
175,0.0019079588677900373,advantages,2289,2.3423886203551945,signing,1928,0.2681027889995129,print
1300,0.0019049646868231826,increasing,2507,2.3363892983216967,today,1746,0.26788639791383845,operation
2722,0.0018883373436347647,years,728,2.3311418947015374,day,1367,0.26734588267845039,january
1536,0.0018880242230635686,major,1883,2.3113916820927733, poor  credit ,669,0.26676868730334269,course
1368,0.0018872490825052198,job,2124,2.3077935540471306,requirements,604,0.26560601217741642,conditions
1176,0.0018729152389542919,groups,2234,2.2994877048576288,send,1484,0.26435800895123374,llc
1959,0.0018720684340697365,profitability,2412,2.297825419759941,submit,2403,0.26413943347660929,student
2383,0.0018574973728184749,stopped,2625,2.296545278193614,vehicle,164,0.26271655446442721,address
779,0.0018490221915929395,deposited,214,2.2929400838435967,annual,1062,0.26253996236231469,fiscal
2162,0.0018293110781553816,right,1314,2.2902443001409893,industry,1538,0.2624550537504643,make
1193,0.0018036636450384099,handled,469,2.2866091991185815,certain,2514,0.26244169652630295,total
2503,0.0017942760195975942,times,989,2.2729488407544838,facilities,445,0.26242487400996528,cases
1970,0.0017860596052842823,properly,1668,2.2725061807185831,national,2020,0.26159325071089412,reader
1732,0.001772769337526137,old,1693,2.272073505973224,news,1194,0.26127165780471495,handling
2290,0.0017688929552216574,signs,1927,2.2620316160459839,principles,2519,0.26034323828699746,track
809,0.0017611158257799819,difficult,349,2.2614582054795433,bond,240,0.25972780523163785,aren
1158,0.0017580987780938125,governments,2684,2.2592845546422713,withdrawal,868,0.25899310093853284,easy
2518,0.0017560831621310346,town,2314,2.2556863057501335,social,2010,0.2586187777586349,rate
1696,0.0017487852654362961,non,2208,2.2520824667835142,school,592,0.2584893956514358,completed
2039,0.0017336937384463467,receive,2210,2.2496307418635624,score,1552,0.25821407114344358,making
839,0.0017250217648119653,dollar,159,2.2467306039827988,added,1720,0.25762558890935028,october
579,0.0017237064176572098,company,657,2.2452364329516672,costs,1065,0.25701445614165452,fixed
50,0.0017223312256429459,22,429,2.2441446920072528, card  credit ,2415,0.25675612724582514,subscribe
632,0.0017132446274797607,continue,1299,2.2428202573788809,increases,895,0.25647502857737603,emergency
236,0.0017083979625095395,approved,1077,2.2364612208940309,food,2289,0.25635444114289629,signing
625,0.0016898309327338951,consumers,224,2.2341523841283188,application,229,0.25602827157005009,applying
1674,0.0016761227029995895,necessarily,696,2.227852580208773, credit  scores ,1133,0.25469460647014208,gift
401,0.0016693808150133756,buys,1259,2.225807083381901,human,1232,0.2541343606442702,hold
2167,0.0016530407399916007,risk,1714,2.2252914758081608,obtaining,582,0.25321715346438367,compare
71,0.0016526842750369669,30,873,2.2157541023419012,economy,2266,0.25306954344652804,sharing
1987,0.0016295809709587078, published  required ,248,2.2153544528666305,aside,697,0.25266202754538114, credit  union 
710,0.0016269967744812056,currency,532,2.2149742042506748,coffee,2410,0.25265262475943062,style
1949,0.0016205811675848874,product,415,2.2148938132274951,capable,1040,0.2526368278488072,finances
1293,0.001620436524300765,include,2726,2.2116057249811631,young,1148,0.25212105728028622, good  financial 
