 ['forest  feature  index'] , ['forest  rank'] , ['forest  word'] , ['SGD  feature  index'] , ['SGD  rank'] , ['SGD  word'] , ['logistic  feature  index'] , ['logistic  rank'] , ['logistic  word'] 
2357,0.017023102859758308,required,2854,11.870006219280357,trust,2854,1.3135234791639945,trust
3020,0.014392659823275597,work,1773,11.327893519687221,middle,662,1.1551192516854065,coordinator
1114,0.01192381559536972,field,825,9.6788141245339716,digital,3020,0.93518788383318485,work
1505,0.0083372276579638353,job,2863,9.6627839176766006,tv,1773,0.84819223677095301,middle
2803,0.0080527708469990498,time,2729,9.1215577131605645,survey,632,0.83468817466671197,consultant
557,0.0074618361099269099,company,2229,8.7052471412467796,questions,2389,0.80841480599893367,retail
1372,0.0071485012927009692,hours,2389,8.1197316318535115,retail,825,0.80718645162165825,digital
490,0.0067275120858435247,clients,2880,7.8761091989792869,unemployment,1781,0.79520184570594166, minimum  wage 
1,0.0066098472864768625,000,2788,7.6573420066143347,theories,156,0.79402004758200095,agency
2907,0.0064849458077477825,use,2357,7.5339571926298898,required,134,0.76340982088746301,administrative
47,0.0064606663657334586,25,1384,7.4618110518104164, human  resources ,2055,0.76095230524759327,plan
809,0.0063707777650884919,developed,1781,7.1798905376873128, minimum  wage ,3066,0.75364249554116958,year
1582,0.0062896465847701423,left,632,7.1348530649849149,consultant,478,0.74015080977807801,class
1247,0.0060439966766421532,going,2187,7.0774347885285094,properly,1707,0.73029111603420238,manager
2511,0.005980760542174157,set,2915,7.0393484939562176,usually,1384,0.72344190703700728, human  resources 
823,0.0059015880789092074,difficult,1959,6.6919578522255847,owner,2915,0.72289398691837858,usually
3066,0.0057519137756928919,year,2169,6.6273642348237347,profit,2229,0.70259979861475164,questions
1208,0.0056551385858610416,funds,2347,6.5913640069602168,reports,1114,0.69518977411598493,field
2069,0.0055665789156916683,point,3061,6.4938670427786054,writing,2880,0.69103501822647195,unemployment
1298,0.0054061674468390761,handle,133,6.3994691606869685,administration,2439,0.68554672318008414,sales
1370,0.0053795150706659059,hour,2225,6.3794497447077516,quality,2393,0.68451185725710451,retention
859,0.0052250837191855203,does,2055,6.3424439802794277,plan,2347,0.67305157472634836,reports
1644,0.0051407626660573483,looking,80,6.2209768696935912,able,2437,0.66256227591847916,salary
1040,0.0050831021972381199,experience,156,6.1984331602453988,agency,1269,0.66218149116002833,great
1297,0.005050922179905039,hand,2657,6.1675564319480864,stock,1780,0.65488926094207722,minimum
3058,0.0049920486463497548,write,2643,6.1616301553609638,statements,2956,0.65212859317249483,voice
2791,0.004916602305827536,think,2299,6.1465468808172341,references,2829,0.64055429803938657,trade
1686,0.004916276215257729,make,727,6.1302261545447481,cycle,1527,0.62507332823524753,just
1521,0.0048364644472133362,join,570,6.073699434673272,compared,1996,0.61931919892973153,payroll
633,0.0048294207362107001,consultants,113,6.0708198620123142,activities,2068,0.61417272138785561,pm
2508,0.0047213560552465447,services,1269,5.9845980397799776,great,394,0.60484826221947618,capitalism
1995,0.0047119097621580036,payments,2463,5.948378794096242,science,2753,0.59800748145079452,tax
1923,0.0046938085513264938,opportunities,756,5.8652339823237218,decisions,1187,0.59311579211095766,free
812,0.0046737265282838138,did,1875,5.7743963043710727,number,2000,0.59044058549887357,people
553,0.0046559099947657409,companies,1208,5.7249611578630892,funds,1,0.57595176485994581,000
1065,0.0046058921809820691,facilities,1627,5.6711105829555475,ll,1208,0.57374605476815199,funds
54,0.0045283844750070631,30,1810,5.6595556158395475,morale,3074,0.57350822547976332,young
2018,0.0045104052782795724,performance,1582,5.5630913424563282,left,1040,0.57348801280696748,experience
1875,0.0044746744236166397,number,2063,5.4639525617923788,play,570,0.56360401184795206,compared
1969,0.0043807972051629635,paid,3000,5.4227940533563164,white,1875,0.5620305456479856,number
818,0.0043675200094575014,different,2472,5.3852815886958076,secretary,663,0.5594368190973662,coordinators
1832,0.0043062038867574485,nearly,2805,5.2661113505346284, time  job ,95,0.54906687418874456,account
1836,0.0042433335572924936,need,1035,5.2424505754226338,expected,1370,0.54427518936639152,hour
79,0.0041431321971302348,ability,1924,5.187525022892391,opportunity,2729,0.54399845524935941,survey
