 ['forest  feature  index'] , ['forest  rank'] , ['forest  word'] , ['SGD  feature  index'] , ['SGD  rank'] , ['SGD  word'] , ['logistic  feature  index'] , ['logistic  rank'] , ['logistic  word'] 
662,0.034851508468884219,customers,585,11.952151003061486,construction,1963,1.0034513440601891,property
1985,0.023045869323022352,provide,1963,10.796902853068735,property,1338,0.99126917698204897,land
1963,0.021646135191825025,property,2477,10.296233817395073,tangible,1166,0.87912669171653157,home
25,0.020442824469930166,17,1338,10.002932490834121,land,726,0.69507654550031583,deposit
1681,0.018390936635680318,number,292,9.7803017885729542,banker,2564,0.60088573825990121,trustee
2617,0.018223762298210822,usually,2249,9.4587319198319495,secondary,585,0.53780302009145386,construction
1221,0.018142296863055858,income,2305,9.323629630207396,shares,322,0.49870854713361451,bid
206,0.017133676700906115,approach,2564,8.6641065918865205,trustee,2477,0.47725835453741872,tangible
1537,0.016892440867472432,management,986,8.4643985769968921,finance,1614,0.47638007227682733,mortgage
2272,0.015566940525722198, sell  property ,726,8.412646481071155,deposit,699,0.46506557374803525,deed
585,0.015454325173014474,construction,1969,8.3982637634483055, property  owner ,240,0.45483659061818332,assets
462,0.014902702682624353,choose,490,8.2168068348385681,closing,2249,0.44096430856812374,secondary
2273,0.012341453108646941,seller,1928,7.7875066653372711,proceeds,1999,0.42980236070870487, purchase  order 
64,0.011357934356990375,30,1166,7.6226802197852068,home,2313,0.42573363057008284, short  sale 
163,0.011282722365275962,ago,624,7.3387242213957071,country,1969,0.418384967080835, property  owner 
1314,0.010033316833277458,just,2439,6.9358899733487815,subsidized,2624,0.39508979364396257,value
1813,0.0099029019513670376,percent,240,6.8044603258542438,assets,14,0.39208057813664149,12
1355,0.0097662644671517827,learn,2624,6.6903841907157275,value,2601,0.38736967596718114,unsecured
2616,0.0097362973578310145,using,567,6.6457656335803925,condo,1458,0.38713259176947357,loans
813,0.009656207390698163,easy,374,6.4500528998860922,buy,986,0.38584784628167162,finance
1810,0.009525460463253985,people,1999,6.3689713007484876, purchase  order ,272,0.38436514423836832,available
1643,0.0093161779530167733,necessarily,446,6.2973606287294599,changes,1087,0.37265011716336671,good
2283,0.009267339292952672,sent,680,6.1915681958475464,debit,1191,0.37122295599618543,housing
272,0.0089672546879401242,available,1458,6.1805406761940098,loans,1730,0.36867923533164748,option
14,0.0088963063546785778,12,1962,6.13992129221125,properties,1962,0.35912099457461699,properties
753,0.0084898286044404695,difference,2247,6.0819309232541041,second,285,0.34974284976787517,balance
444,0.0080720799531496471,change,1089,6.0655129343240999, good  deal ,430,0.34030103619328567,cents
1785,0.0080345163841781444,pay,1730,5.8642295814856649,option,1537,0.33741235086797811,management
449,0.0078984473818350682,charged,917,5.7224582738753798,experience,2248,0.3269505878805527, second  mortgage 
324,0.0078296499926476647,big,1881,5.715221269682158,potential,2247,0.32350663073404384,second
1166,0.0075917946257007237,home,1537,5.4065671875601353,management,2439,0.31850224883709372,subsidized
2504,0.007589879918623291,terms,272,5.3720104743953767,available,1540,0.31716773917459495,manager
581,0.007544036795970187,considered,2662,5.2397382459993045,warranty,262,0.31441480311429076,auction
158,0.0074594766780938723,age,1921,5.2340062990039371, private  mortgage ,292,0.31280818139325667,banker
1068,0.0073709981789060368,general,1087,5.193079596383976,good,834,0.3084558475414057,email
1513,0.0073426445446455714,maintenance,2040,5.1379917157412844,rates,490,0.30421737275442878,closing
